"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","wdsp","NUM_COLLISIONS"
"1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,83.6,63,4.1,0.479768786127168
"2",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,80.3,54.1,3.8,0.554913294797688
"3",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,79.8,56.7,2.9,0.84393063583815
"4",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,81.8,65.6,3.6,0.173410404624277
"5",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,86.7,64.3,3.8,0.632947976878613
"6",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,81.9,62.3,3.1,0.76878612716763
"7",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,84.9,65.9,3.1,0.341040462427746
"8",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,80.6,65.5,3.1,0.265895953757225
"9",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,78.5,56.8,3.5,0.465317919075145
"10",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,76.5,56.3,3.4,0.439306358381503
"11",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,77.1,62,1.9,0.557803468208092
"12",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,77.4,60.2,2.3,0.592485549132948
"13",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,78.9,60.7,3,0.667630057803468
"14",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,78.5,62.7,3.5,0.473988439306358
"15",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,79.7,68.6,2.8,0.352601156069364
"16",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,79,67.9,4,0.450867052023121
"17",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,84.6,63.3,3.5,0.797687861271676
"18",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,85.3,69.1,3.7,0.540462427745665
"19",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,73.3,67.2,3.4,0.433526011560694
"20",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,67.2,62.8,6.5,0.670520231213873
"21",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,68.1,58.5,4.1,0.450867052023121
"22",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,72.5,59.4,2,0.364161849710983
"23",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,76,67.2,3,0.384393063583815
"24",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,80.3,67.3,6,0.583815028901734
"25",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,76.5,53.5,4.2,0.69364161849711
"26",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,78,62.4,4.3,0.670520231213873
"27",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,76.6,69.3,4.4,0.76878612716763
"28",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,75.5,69.6,3.9,0.407514450867052
"29",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,71.7,66.1,3.2,0.0115606936416185
"30",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,73.1,65.1,2.2,0.456647398843931
"31",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,73.4,64.3,3.8,0.485549132947977
"32",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,72.2,68.4,2.5,0.705202312138728
"33",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,75,68.4,2.7,0.572254335260116
"34",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,77.9,70.8,4.4,0.627167630057804
"35",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,77.9,71.7,4.1,0.566473988439306
"36",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,78.1,72.4,6.1,0.421965317919075
"37",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,77.3,66.9,5.5,0.638728323699422
"38",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,75.2,58.1,1.2,0.505780346820809
"39",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,77.8,67.1,1.1,0.450867052023121
"40",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,78.2,69.6,2.3,0.604046242774566
"41",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,75.3,71.3,5.4,0.708092485549133
"42",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,77.7,71.5,6.9,0.390173410404624
"43",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,77.8,65.4,5.7,0.384393063583815
"44",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,76.3,61.2,4.3,0.38150289017341
"45",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,76,62.6,2.3,0.427745664739884
"46",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,73.6,68.9,3.5,0.664739884393064
"47",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,74,64.3,3.1,0.696531791907514
"48",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,77.9,60.7,3.3,0.583815028901734
"49",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,69.8,63.7,4.1,0.485549132947977
"50",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,68.7,55,1.3,0.274566473988439
"51",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,71.4,56.7,0.8,0.291907514450867
"52",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,72.8,57.2,2.5,0.317919075144509
"53",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,73.8,60.3,1.7,0.38150289017341
"54",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,74.7,61.7,2,0.583815028901734
"55",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,77.3,60.9,2,0.661849710982659
"56",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,75.7,65.2,3.2,0.294797687861272
"57",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,73.9,62.4,4.6,0.286127167630058
"58",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,71.9,66.3,2.7,0.508670520231214
"59",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,77.9,67.4,6,0.621387283236994
"60",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,73.3,53.2,4.7,0.514450867052023
"61",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,72,49.4,2.5,0.710982658959538
