"","day","temp","dewp","wdsp","NUM_COLLISIONS"
"1",1,83.6,63,4.1,0.479768786127168
"2",3,80.3,54.1,3.8,0.554913294797688
"3",4,79.8,56.7,2.9,0.84393063583815
"4",5,81.8,65.6,3.6,0.173410404624277
"5",6,86.7,64.3,3.8,0.632947976878613
"6",7,81.9,62.3,3.1,0.76878612716763
"7",2,84.9,65.9,3.1,0.341040462427746
"8",1,80.6,65.5,3.1,0.265895953757225
"9",3,78.5,56.8,3.5,0.465317919075145
"10",4,76.5,56.3,3.4,0.439306358381503
"11",5,77.1,62,1.9,0.557803468208092
"12",6,77.4,60.2,2.3,0.592485549132948
"13",7,78.9,60.7,3,0.667630057803468
"14",2,78.5,62.7,3.5,0.473988439306358
"15",1,79.7,68.6,2.8,0.352601156069364
"16",3,79,67.9,4,0.450867052023121
"17",4,84.6,63.3,3.5,0.797687861271676
"18",5,85.3,69.1,3.7,0.540462427745665
"19",6,73.3,67.2,3.4,0.433526011560694
"20",7,67.2,62.8,6.5,0.670520231213873
"21",2,68.1,58.5,4.1,0.450867052023121
"22",1,72.5,59.4,2,0.364161849710983
"23",3,76,67.2,3,0.384393063583815
"24",4,80.3,67.3,6,0.583815028901734
"25",5,76.5,53.5,4.2,0.69364161849711
"26",6,78,62.4,4.3,0.670520231213873
"27",7,76.6,69.3,4.4,0.76878612716763
"28",2,75.5,69.6,3.9,0.407514450867052
"29",1,71.7,66.1,3.2,0.0115606936416185
"30",3,73.1,65.1,2.2,0.456647398843931
"31",4,73.4,64.3,3.8,0.485549132947977
"32",5,72.2,68.4,2.5,0.705202312138728
"33",6,75,68.4,2.7,0.572254335260116
"34",7,77.9,70.8,4.4,0.627167630057804
"35",2,77.9,71.7,4.1,0.566473988439306
"36",1,78.1,72.4,6.1,0.421965317919075
"37",3,77.3,66.9,5.5,0.638728323699422
"38",4,75.2,58.1,1.2,0.505780346820809
"39",5,77.8,67.1,1.1,0.450867052023121
"40",6,78.2,69.6,2.3,0.604046242774566
"41",7,75.3,71.3,5.4,0.708092485549133
"42",2,77.7,71.5,6.9,0.390173410404624
"43",1,77.8,65.4,5.7,0.384393063583815
"44",3,76.3,61.2,4.3,0.38150289017341
"45",4,76,62.6,2.3,0.427745664739884
"46",5,73.6,68.9,3.5,0.664739884393064
"47",6,74,64.3,3.1,0.696531791907514
"48",7,77.9,60.7,3.3,0.583815028901734
"49",2,69.8,63.7,4.1,0.485549132947977
"50",1,68.7,55,1.3,0.274566473988439
"51",3,71.4,56.7,0.8,0.291907514450867
"52",4,72.8,57.2,2.5,0.317919075144509
"53",5,73.8,60.3,1.7,0.38150289017341
"54",6,74.7,61.7,2,0.583815028901734
"55",7,77.3,60.9,2,0.661849710982659
"56",2,75.7,65.2,3.2,0.294797687861272
"57",1,73.9,62.4,4.6,0.286127167630058
"58",3,71.9,66.3,2.7,0.508670520231214
"59",4,77.9,67.4,6,0.621387283236994
"60",5,73.3,53.2,4.7,0.514450867052023
"61",6,72,49.4,2.5,0.710982658959538
"62",7,78.7,56.1,3.9,0.950867052023121
"63",2,81.6,61.3,4.7,0.413294797687861
"64",1,75.4,65.9,3.2,0.141618497109827
"65",3,73.8,65.1,4.5,0.00289017341040462
"66",4,72.6,68.4,4.7,0.676300578034682
"67",5,75.2,71.5,5.4,0.661849710982659
"68",6,73.2,65.3,2.3,0.578034682080925
"69",7,77,67.8,2.7,0.890173410404624
"70",2,75.3,69.6,5.8,0.653179190751445
"71",1,68.4,57.3,3,0.265895953757225
"72",3,65.4,49.1,5.7,0.765895953757225
"73",4,62.8,41.8,3.1,0.430635838150289
"74",5,68.5,49.7,2.1,0.80635838150289
"75",6,70.4,54.8,3.2,0.751445086705202
"76",7,70.5,57.7,2.3,0.684971098265896
"77",2,67.2,54.1,5.1,0.534682080924855
"78",1,65.1,46.5,1.9,0.248554913294798
"79",3,66.5,48,2.2,0.23121387283237
"80",4,70.6,64.8,5.5,0.531791907514451
"81",5,66.7,56.1,6.3,0.69364161849711
"82",6,61,48.3,4.6,0.433526011560694
"83",7,64.7,53.7,4.7,0.815028901734104
"84",2,66.3,60.6,5.6,0.505780346820809
"85",1,63.8,50.3,6.4,0.312138728323699
"86",3,59,40.4,3.3,0.549132947976879
"87",4,62,43.4,4.9,0.641618497109827
"88",5,67.7,56.8,4.3,0.092485549132948
"89",6,69,60.4,1.8,0.716763005780347
"90",7,65.2,61.8,5.1,0.956647398843931
"91",2,62.4,58.8,3.9,0.326589595375723
"92",1,60.5,52.5,3.9,0.222543352601156
"93",3,60.6,46.8,4.7,0.528901734104046
"94",4,63.7,54.2,2.4,0.638728323699422
"95",5,65.6,64.3,3.5,0.375722543352601
"96",6,68.6,66.2,2.2,0.526011560693642
"97",7,67.8,59.7,3.3,0.927745664739884
"98",2,66.1,57.9,5.2,0.369942196531792
"99",1,52.5,42.3,2,0.315028901734104
"100",3,49.9,42.9,3.5,0.0115606936416185
"101",4,53.8,48.5,5.6,0.572254335260116
"102",5,58.2,53.8,5.2,0.774566473988439
"103",6,53.4,35.3,5.5,0.823699421965318
"104",7,51.2,35.9,5.3,0.641618497109827
"105",2,45.2,25.9,3.1,0.505780346820809
"106",1,58.7,45.9,5,0.419075144508671
"107",3,65.3,57.8,4.5,0.679190751445087
"108",4,55.8,42.5,5.8,0.664739884393064
"109",5,51.9,38,1.3,0.702312138728324
"110",6,56.8,46.7,3.1,0.745664739884393
"112",2,62.7,58.6,6.3,0.621387283236994
"113",1,56.5,39,5,0.15606936416185
"114",3,57.8,40.1,4.3,0.684971098265896
"115",4,59,44.9,2.2,0.433526011560694
"116",5,57.1,53.5,4.1,0.352601156069364
"117",6,58,51.3,3,0.401734104046243
"118",7,60.8,53.4,1.5,0.653179190751445
"119",2,61.9,53.9,4.3,0.439306358381503
"120",1,57.7,50,11.9,0.0895953757225433
"122",4,53.9,48.9,8.9,0
"123",5,49.7,43.2,5.5,0.511560693641618
"124",6,47.7,37.4,6,0.19364161849711
"128",3,42.3,27.3,5.5,0.309248554913295
"129",4,36.6,17.4,4.8,0.410404624277457
"130",5,37.1,27.1,10.1,1
"131",6,41.2,35.1,15.2,0.514450867052023
"132",7,43.3,25.8,9.6,0.913294797687861
"133",2,48,35,2,0.208092485549133
"134",1,54.7,45.1,1.6,0.445086705202312
"135",3,56.7,50.2,2.9,0.505780346820809
"136",4,52.4,47.5,6.1,0.797687861271676
"137",5,42.8,29.9,7.7,0.73121387283237
"138",6,40.4,25,5.3,0.725433526011561
"139",7,41.9,29.5,5.8,0.867052023121387
"140",2,43.6,27.9,4.7,0.491329479768786
