,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep,Fri,Mon,Sat,Sun,Thu,Tue,Wed,year,temp,dewp,wdsp,NUM_COLLISIONS
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,83.6,63,4.1,0.479768786
2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,80.3,54.1,3.8,0.554913295
3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,79.8,56.7,2.9,0.843930636
4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,81.8,65.6,3.6,0.173410405
5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,86.7,64.3,3.8,0.632947977
6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,81.9,62.3,3.1,0.768786127
7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,84.9,65.9,3.1,0.341040462
8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,80.6,65.5,3.1,0.265895954
10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,76.5,56.3,3.4,0.439306358
11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,77.1,62,1.9,0.557803468
12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,77.4,60.2,2.3,0.592485549
13,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,78.9,60.7,3,0.667630058
14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,78.5,62.7,3.5,0.473988439
15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,79.7,68.6,2.8,0.352601156
16,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,79,67.9,4,0.450867052
17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,84.6,63.3,3.5,0.797687861
18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,85.3,69.1,3.7,0.540462428
20,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,67.2,62.8,6.5,0.670520231
21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,68.1,58.5,4.1,0.450867052
22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,72.5,59.4,2,0.36416185
23,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,76,67.2,3,0.384393064
24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,80.3,67.3,6,0.583815029
25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,76.5,53.5,4.2,0.693641618
26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,78,62.4,4.3,0.670520231
27,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,76.6,69.3,4.4,0.768786127
28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,75.5,69.6,3.9,0.407514451
29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,71.7,66.1,3.2,0.011560694
30,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,73.1,65.1,2.2,0.456647399
31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,73.4,64.3,3.8,0.485549133
32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,72.2,68.4,2.5,0.705202312
33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,75,68.4,2.7,0.572254335
34,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,77.9,70.8,4.4,0.62716763
35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,77.9,71.7,4.1,0.566473988
36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,78.1,72.4,6.1,0.421965318
37,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,77.3,66.9,5.5,0.638728324
38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,75.2,58.1,1.2,0.505780347
39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,77.8,67.1,1.1,0.450867052
40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,78.2,69.6,2.3,0.604046243
41,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,75.3,71.3,5.4,0.708092486
42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,77.7,71.5,6.9,0.39017341
43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,77.8,65.4,5.7,0.384393064
44,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,76.3,61.2,4.3,0.38150289
45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,76,62.6,2.3,0.427745665
46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,73.6,68.9,3.5,0.664739884
47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,74,64.3,3.1,0.696531792
48,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,77.9,60.7,3.3,0.583815029
49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,69.8,63.7,4.1,0.485549133
50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,68.7,55,1.3,0.274566474
51,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,71.4,56.7,0.8,0.291907514
52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,72.8,57.2,2.5,0.317919075
53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,73.8,60.3,1.7,0.38150289
54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,74.7,61.7,2,0.583815029
55,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,77.3,60.9,2,0.661849711
56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,75.7,65.2,3.2,0.294797688
57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,73.9,62.4,4.6,0.286127168
58,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,71.9,66.3,2.7,0.50867052
59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,77.9,67.4,6,0.621387283
60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,73.3,53.2,4.7,0.514450867
61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,72,49.4,2.5,0.710982659
62,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,78.7,56.1,3.9,0.950867052
63,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2012,81.6,61.3,4.7,0.413294798
64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2012,75.4,65.9,3.2,0.141618497
